Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress ScoreÂ®,Grit,Flow,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp
running,30/07/2019 06:54,FALSE,Wokingham Running,5.01,506,00:33:44,155,166,3.4,154,167,06:44,05:20,3,--,0.97,0,0,0,0,0,00:00,0,00:00,No,00:03.1,6,0
running,28/07/2019 09:32,FALSE,Wokingham Running,5.01,504,00:33:59,154,165,3.4,154,165,06:47,06:02,7,3,0.96,0,0,0,0,0,00:00,0,00:00,No,00:03.3,6,0
running,26/07/2019 06:53,FALSE,Wokingham Running,5.01,462,00:34:10,145,162,3.1,154,165,06:49,04:50,11,8,0.95,0,0,0,0,0,00:00,0,00:00,No,00:02.8,6,0
running,23/07/2019 06:46,FALSE,Wokingham Running,5.01,558,00:34:32,167,183,4.1,153,171,06:54,05:33,4,1,0.95,0,0,0,0,0,00:00,0,00:00,No,00:02.9,6,0
running,20/07/2019 08:57,FALSE,Wokingham Running,10.01,994,01:12:16,147,164,4,153,167,07:13,05:35,10,7,0.91,0,0,0,0,0,00:00,0,00:00,No,00:02.3,11,0
running,18/07/2019 06:57,FALSE,Wokingham Running,5.01,531,00:34:44,155,174,3.6,153,168,06:56,05:45,12,12,0.94,0,0,0,0,0,00:00,0,00:00,No,00:02.6,6,0
running,16/07/2019 06:56,FALSE,Wokingham Running,5.01,508,00:34:04,152,165,3.4,154,169,06:48,05:48,13,9,0.95,0,0,0,0,0,00:00,0,00:00,No,00:02.1,6,0
running,12/07/2019 06:44,FALSE,Wokingham Running,5.01,504,00:34:17,151,164,3.4,154,167,06:51,05:34,8,4,0.95,0,0,0,0,0,00:00,0,00:00,No,00:03.3,6,0
running,10/07/2019 06:52,FALSE,Wokingham Running,5.01,564,00:33:45,167,188,4.1,155,168,06:44,05:30,9,6,0.96,0,0,0,0,0,00:00,0,00:00,No,00:02.4,6,0
running,08/07/2019 06:53,FALSE,Wokingham Running,5.01,466,00:34:05,142,162,3.1,155,168,06:48,05:47,11,7,0.95,0,0,0,0,0,00:00,0,00:00,No,00:03.0,6,0
running,06/07/2019 09:20,FALSE,Wokingham Running,5.01,589,00:34:28,169,194,4.6,155,165,06:53,05:56,12,9,0.94,0,0,0,0,0,00:00,0,00:00,No,00:02.9,6,0
running,04/07/2019 06:57,FALSE,Wokingham Running,5.01,540,00:34:38,158,179,3.8,154,165,06:55,05:38,6,5,0.94,0,0,0,0,0,00:00,0,00:00,No,00:02.8,6,0
running,02/07/2019 06:54,FALSE,Wokingham Running,5.01,496,00:34:30,148,159,3.3,153,165,06:53,05:40,13,9,0.95,0,0,0,0,0,00:00,0,00:00,No,00:03.3,6,0
running,30/06/2019 11:23,FALSE,Running,5.01,550,00:35:46,156,178,3.8,152,166,07:08,05:42,9,8,0.92,0,0,0,0,0,00:00,0,00:00,No,00:03.2,6,0
running,27/06/2019 06:49,FALSE,Wokingham Running,5.01,349,00:34:20,124,159,2.6,153,167,06:51,05:35,3,--,0.95,0,0,0,0,0,00:00,0,00:00,No,00:03.2,6,0
running,25/06/2019 06:53,FALSE,Wokingham Running,5.01,539,00:35:11,155,179,3.6,152,167,07:01,05:33,4,--,0.93,0,0,0,0,0,00:00,0,00:00,No,00:02.9,6,0
running,23/06/2019 10:30,FALSE,Wokingham Running,5.01,491,00:34:24,148,165,3.4,153,170,06:52,05:31,9,5,0.95,0,0,0,0,0,00:00,0,00:00,No,00:02.4,6,0
running,21/06/2019 06:54,FALSE,Wokingham Running,5.01,474,00:34:02,147,163,3.3,155,165,06:47,05:34,11,9,0.95,0,0,0,0,0,00:00,0,00:00,No,00:02.8,6,0
running,18/06/2019 18:46,FALSE,Wokingham Running,5.01,492,00:35:25,145,160,3.2,155,170,07:05,05:09,10,9,0.91,0,0,0,0,0,00:00,0,00:00,No,00:02.2,6,0
running,15/06/2019 08:56,FALSE,Wokingham Running,10.01,"1,041",01:10:30,153,168,4.5,156,168,07:02,05:39,16,14,0.91,0,0,0,0,0,00:00,0,00:00,No,00:04.6,11,0
running,12/06/2019 19:06,FALSE,Wokingham Running,5.01,502,00:34:26,150,170,3.5,157,165,06:52,05:36,5,6,0.93,0,0,0,0,0,00:00,0,00:00,No,00:03.1,6,0
running,10/06/2019 18:36,FALSE,Wokingham Running,5.01,513,00:34:37,152,166,3.4,157,167,06:55,05:14,5,5,0.92,0,0,0,0,0,00:00,0,00:00,No,00:02.2,6,0
running,08/06/2019 09:02,FALSE,Reading Parkrun,4.98,464,00:34:16,143,170,3.3,157,167,06:53,05:28,4,4,0.92,0,0,0,0,0,00:00,0,00:00,No,06:15.4,5,0
running,06/06/2019 18:19,FALSE,Wokingham Running,5.01,526,00:33:44,157,174,3.6,154,165,06:44,05:50,9,5,0.96,0,0,0,0,0,00:00,0,00:00,No,00:03.4,6,0
running,04/06/2019 18:00,FALSE,Wokingham Running,5.01,455,00:33:11,143,165,3.1,155,171,06:37,05:32,10,10,0.98,0,0,0,0,0,00:00,0,00:00,No,00:02.7,6,0
running,01/06/2019 09:29,FALSE,Wokingham Running,5.01,442,00:34:02,141,169,3.2,156,171,06:48,05:04,7,6,0.94,0,0,0,0,0,00:00,0,00:00,No,00:02.1,6,0
running,29/05/2019 18:16,FALSE,Wokingham Running,5.01,513,00:36:07,144,161,3.2,154,167,07:13,05:12,4,5,0.9,0,0,0,0,0,00:00,0,00:00,No,00:02.4,6,0
running,27/05/2019 10:36,FALSE,Wokingham Running,5.01,399,00:35:05,131,163,2.2,156,168,07:00,05:27,4,5,0.92,0,0,0,0,0,00:00,0,00:00,No,00:02.0,6,0
running,25/05/2019 09:03,FALSE,Reading Parkrun,5,512,00:33:58,154,174,3.5,158,170,06:48,05:18,3,4,0.92,0,0,0,0,0,00:00,0,00:00,No,06:09.8,5,0
running,23/05/2019 18:53,FALSE,Wokingham Running,5.01,440,00:34:12,139,163,3,155,168,06:50,05:37,7,5,0.94,0,0,0,0,0,00:00,0,00:00,No,00:03.0,6,0
running,21/05/2019 17:55,FALSE,Wokingham Running,5.01,552,00:35:47,158,181,3.5,152,165,07:09,05:32,6,11,0.92,0,0,0,0,0,00:00,0,00:00,No,00:03.1,6,0
running,19/05/2019 09:38,FALSE,Wallingford 10km,10.01,"1,144",01:12:32,160,170,4.7,156,178,07:15,04:31,19,18,0.89,0,0,0,0,0,00:00,0,00:00,No,00:03.7,11,0
running,15/05/2019 18:43,FALSE,Wokingham Running,5.01,407,00:33:53,133,166,2.4,155,176,06:46,05:12,15,11,0.96,0,0,0,0,0,00:00,0,00:00,No,00:03.4,6,0
running,13/05/2019 18:27,FALSE,Wokingham Running,5.01,497,00:33:17,152,169,3.4,156,171,06:39,05:32,8,5,0.97,0,0,0,0,0,00:00,0,00:00,No,00:02.5,6,0
running,11/05/2019 11:24,FALSE,Wokingham Running,5.01,528,00:34:01,157,170,3.6,157,165,06:47,05:22,15,13,0.94,0,0,0,0,0,00:00,0,00:00,No,00:02.1,6,0
running,09/05/2019 18:55,FALSE,Wokingham Running,5.01,532,00:35:09,153,164,3.5,155,174,07:01,06:00,4,2,0.92,0,0,0,0,0,00:00,0,00:00,No,00:02.6,6,0
running,07/05/2019 18:37,FALSE,Wokingham Running,5.01,504,00:34:28,149,162,3.3,157,171,06:53,05:46,8,7,0.92,0,0,0,0,0,00:00,0,00:00,No,00:02.0,6,0
running,05/05/2019 09:04,FALSE,Wokingham Running,5.01,542,00:34:11,160,177,3.8,158,168,06:49,05:58,8,4,0.93,0,0,0,0,0,00:00,0,00:00,No,00:03.0,6,0
running,03/05/2019 17:45,FALSE,Wokingham Running,5.01,536,00:36:34,148,157,3.3,155,167,07:18,06:10,11,10,0.88,0,0,0,0,0,00:00,0,00:00,No,00:02.2,6,0
running,30/04/2019 18:24,FALSE,Wokingham Running,5,520,00:34:26,154,165,3.4,154,165,06:53,05:48,9,6,0.94,0,0,0,0,0,00:00,0,00:00,No,00:01.7,6,0
